"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"136","2015-04-01",16.35,16.68,16.25,16.25,4.406555,0,4.471636,-0.0145541810648273
"137","2015-05-01",16.43,16.709999,16.35,16.379999,4.441807,0,4.406555,0.00799990014875562
"138","2015-06-01",16.35,16.9,16.35,16.379999,4.441807,0,4.441807,0
"139","2015-07-01",16.42,16.42,15.29,15.58,4.224869,0,4.441807,-0.0488400328965216
"140","2015-08-01",15.47,15.85,13.94,14.91,4.043183,0,4.224869,-0.0430039369268017
"141","2015-09-01",14.46,14.98,13.75,14.06,3.812687,0,4.043183,-0.0570085499469106
"142","2015-10-01",13.97,15.03,13.97,14.96,4.056742,0,3.812687,0.0640112865283722
"143","2015-11-01",15.24,15.35,14.46,15.27,4.140805,0,4.056742,0.0207218008934265
"144","2015-12-01",15.43,15.43,12.19,12.46,3.37881,0,4.140805,-0.184020981427524
"145","2016-01-01",12.27,12.27,10.5,10.96,3.383595,0,3.37881,0.00141617906896219
"146","2016-02-01",11.07,11.31,10.23,11.07,3.417554,0,3.383595,0.0100363666455352
"147","2016-03-01",11.37,12.38,11.37,12.37,3.818893,0,3.417554,0.117434574552443
"148","2016-04-01",12.39,12.84,11.84,12.5,3.859027,0,3.818893,0.0105093282267925
"149","2016-05-01",12.56,12.56,11.65,12.37,3.818893,0,3.859027,-0.0104000308886152
"150","2016-06-01",12.4,12.69,11.03,11.71,3.615137,0,3.818893,-0.0533547287132685
"151","2016-07-01",11.74,12.8,11.41,12.61,3.892987,0,3.615137,0.0768573915732655
"152","2016-08-01",12.48,12.91,12.29,12.81,3.954731,0,3.892987,0.0158603149715115
"153","2016-09-01",12.78,13.11,12.52,13.11,4.047348,0,3.954731,0.0234192919821854
"154","2016-10-01",13.1,13.28,12.54,12.54,3.871376,0,4.047348,-0.043478346808824
"155","2016-11-01",12.36,14.28,12.03,14.18,4.37768,0,3.871376,0.13078140692095
"156","2016-12-01",14.27,15.12,14.23,14.32,4.420901,0,4.37768,0.0098730377734324
"157","2017-01-01",14.5,15.05,14.45,14.82,4.675085,0,4.420901,0.0574959719749437
"158","2017-02-01",14.94,15.5,14.87,15.15,4.779187,0,4.675085,0.0222674026247651
"159","2017-03-01",15.48,15.48,14.41,14.97,4.722404,0,4.779187,-0.0118813095197992
"160","2017-04-01",14.74,15.04,14.24,14.84,4.681394,0,4.722404,-0.00868413630007092
"161","2017-05-01",14.84,14.84,14.02,14.13,4.457419,0,4.681394,-0.0478436551164034
"162","2017-06-01",14.44,14.96,14.29,14.95,4.716094,0,4.457419,0.058032462283667
"163","2017-07-01",15.1,15.47,14.79,15.31,4.829659,0,4.716094,0.0240803088318426
"164","2017-08-01",15.32,15.32,14.46,14.82,4.675085,0,4.829659,-0.0320051581281412
"165","2017-09-01",14.93,15.85,14.55,15.85,5.000006,0,4.675085,0.069500554535372
"166","2017-10-01",16.040001,16.200001,15.95,16.08,5.072561,0,5.000006,0.014510982586821
"167","2017-11-01",16.08,16.76,15.74,16.73,5.277609,0,5.072561,0.0404229737207693
"168","2017-12-01",16.73,16.9,13.38,13.64,4.302845,0,5.277609,-0.184698032764458
"169","2018-01-01",13.85,14.59,13.82,14.27,5.544783,0,4.302845,0.288631823828188
"170","2018-02-01",14.28,14.28,13.28,13.4,5.206732,0,5.544783,-0.0609673994455689
"171","2018-03-01",13.41,14.08,12.94,13.25,5.148448,0,5.206732,-0.0111939696531336
"172","2018-04-01",12.96,13.62,12.96,13.29,5.163991,0,5.148448,0.00301896804629287
"173","2018-05-01",13.32,13.88,13.15,13.59,5.28056,0,5.163991,0.0225734320605904
"174","2018-06-01",13.66,14.07,13.39,13.39,5.202847,0,5.28056,-0.0147168103382975
"175","2018-07-01",13.45,13.84,13.43,13.62,5.292217,0,5.202847,0.0171771339806839
"176","2018-08-01",13.6,13.78,13.28,13.72,5.331073,0,5.292217,0.00734210256306578
"177","2018-09-01",13.62,13.74,13.28,13.32,5.175648,0,5.331073,-0.0291545435599926
"178","2018-10-01",13.21,13.26,11.44,11.75,4.565605,0,5.175648,-0.117867946197268
"179","2018-11-01",12.07,12.27,11.47,11.95,4.643318,0,4.565605,0.0170214024209279
"180","2018-12-01",12.04,12.04,6.71,7.08,2.75102,0,4.643318,-0.407531424726887
"181","2019-01-01",7.18,8.35,7.09,8.35,4.600722,0,2.75102,0.672369521123074
"182","2019-02-01",8.4,8.89,8.31,8.72,4.804586,0,4.600722,0.044311305921114
"183","2019-03-01",8.81,8.81,8.26,8.44,4.65031,0,4.804586,-0.0321101547563097
"184","2019-04-01",8.65,9.09,8.6,8.93,4.920293,0,4.65031,0.0580569897490704
"185","2019-05-01",8.85,9.01,7.79,7.79,4.292171,0,4.920293,-0.127659470685994
"186","2019-06-01",7.88,8.65,7.88,8.65,4.766017,0,4.292171,0.110397745103818
"187","2019-07-01",8.69,8.69,8.3,8.53,4.699899,0,4.766017,-0.0138727998662194
"188","2019-08-01",8.28,8.28,7.61,7.99,4.402367,0,4.699899,-0.0633060412574824
"189","2019-09-01",7.81,8.77,7.81,8.43,4.644801,0,4.402367,0.055069011738458
"190","2019-10-01",8.22,8.67,7.92,8.5,4.68337,0,4.644801,0.0083036926662734
"191","2019-11-01",8.76,8.99,8.76,8.9,4.903763,0,4.68337,0.0470586351281235
"192","2019-12-01",8.85,9.23,8.77,8.9,4.903763,0,4.903763,0
"193","2020-01-01",8.9,8.9,8.34,8.34,4.782793,0,4.903763,-0.0246688104624958
"194","2020-02-01",8.39,8.75,7.34,7.34,4.209316,0,4.782793,-0.11990420660062
"195","2020-03-01",7.55,7.55,4.09,4.92,2.821503,0,4.209316,-0.329700359868444
"196","2020-04-01",4.6,6.11,4.47,5.96,3.417919,0,2.821503,0.211382373153599
"197","2020-05-01",5.68,6.68,5.27,6.37,3.653044,0,3.417919,0.0687918584378389
"198","2020-06-01",6.49,7.57,6.26,6.57,3.76774,0,3.653044,0.0313973770915434
"199","2020-07-01",6.37,6.99,6.19,6.8,3.89964,0,3.76774,0.0350077234628718
"200","2020-08-01",6.94,7.49,6.94,7.28,4.174908,0,3.89964,0.0705880542819337
"201","2020-09-01",7.38,7.47,6.69,6.97,3.99713,0,4.174908,-0.0425824952310327
"202","2020-10-01",7.06,7.95,7.06,7.43,4.26093,0,3.99713,0.06599735310085
"203","2020-11-01",7.66,9.47,7.66,9,5.161287,0,4.26093,0.211305278425132
"204","2020-12-01",9.15,9.79,9.15,9.79,5.614333,0,5.161287,0.0877777190069067
"205","2021-01-01",9.61,10.8,9.61,9.82,5.639762,0,5.614333,0.0045293002748501
"206","2021-02-01",10.11,11.73,10.11,11.25,6.461031,0,5.639762,0.145621215930743
"207","2021-03-01",11.62,12.48,11.4,12.03,6.908996,0,6.461031,0.0693333618117604
"208","2021-04-01",12.23,13.05,12.18,12.85,7.379934,0,6.908996,0.068163015291947
"209","2021-05-01",13.01,13.46,12.84,13.32,7.649861,0,7.379934,0.0365758013554049
"210","2021-06-01",13.56,13.59,12.55,12.91,7.414392,0,7.649861,-0.0307808207234092
"211","2021-07-01",13.06,13.06,11.86,12.44,7.144464,0,7.414392,-0.0364059520996463
"212","2021-08-01",12.35,12.69,11.87,12.46,7.155951,0,7.144464,0.00160781830519396
"213","2021-09-01",12.43,12.96,11.92,12.64,7.259328,0,7.155951,0.014446297913443
"214","2021-10-01",13.03,13.45,12.92,13.13,7.540741,0,7.259328,0.0387657094430778
"215","2021-11-01",13.5,13.94,12.51,12.51,7.184667,0,7.540741,-0.0472200278460697
"216","2021-12-01",12.26,13.19,9.3,10.02,5.754625,0,7.184667,-0.199040818454077
"217","2022-01-01",10.2,10.63,9.76,9.97,7.560287,0,5.754625,0.313775789039251
"218","2022-02-01",10.2,10.72,10.07,10.59,8.030435,0,7.560287,0.0621865281040257
"219","2022-03-01",10.26,11.05,9.88,10.89,8.257926,0,8.030435,0.0283286023733458
"220","2022-04-01",10.92,10.92,10,10,7.583035,0,8.257926,-0.0817264528647992
"221","2022-05-01",10.01,10.53,9.47,10.42,7.901523,0,7.583035,0.0420000698928595
"222","2022-06-01",10.41,10.8,9,9.16,6.94606,0,7.901523,-0.120921371740613
"223","2022-07-01",9.24,9.91,8.77,9.91,7.514788,0,6.94606,0.0818777839523412
"224","2022-08-01",9.87,10.28,9.7,9.7,7.355544,0,7.514788,-0.0211907508235761
"225","2022-09-01",9.52,10.05,8.61,8.67,6.574492,0,7.355544,-0.106185484037618
"226","2022-10-01",9.02,10.09,9.01,10.09,7.651282,0,6.574492,0.163782996465734
"227","2022-11-01",10.17,10.73,9.93,10.73,8.136596,0,7.651282,0.0634291090042167
